rank,operator
3,"E-E,E-ve,E-fe,ve_c-ve_c,fe-fe"
3,"E-ve,E-vf,ve_c-ve_c,ve-vf,vf-vf"
3,"E-ve,E-fe,ve_c-ve_c,fe-ve,fe-fe"
3,"E-vf,E-fe,vf-vf!,fe-vf,fe-fe"
3,"F-F!,F-ve,F-vf,ve_c-ve_c,ve-vf"
3,"F-ve,F-vf,ve_e-ve_e,ve_c-ve_c,ve-vf"
3,"F-ve,F-fe,ve_e-ve_e,ve_c-ve_c,fe-ve"
3,"F-ve,F-fe,ve_c-ve_c,fe-ve,fe-fe!"
3,"F-vf,F-fe,vf-vf!,fe-vf,fe-fe!"
3,"F-vf,ve_e-ve_e,ve_c-ve_c,ve-vf,vf-vf"
3,"F-fe,ve_e-ve_e,ve_c-ve_c,fe-ve,fe-fe"
3,"F-fe,ve_c-ve_c,fe-ve,fe-fe,fe-fe!"
3,"F-fe,vf-vf!,fe-vf,fe-fe,fe-fe!"
3,"V-V,V-vf,fe-V,fe-vf,fe-fe"
3,"V-ve,V-vf,ve_e-ve_e,ve-vf,vf-vf"
3,"V-ve,fe-V,ve_e-ve_e,fe-ve,fe-fe"
3,"V-ve,fe-V,fe-ve,fe-fe,fe-fe!"
3,"V-ve,ve_e-ve_e,ve_c-ve_c,ve-vf,vf-vf"
3,"V-ve,ve_e-ve_e,ve_c-ve_c,fe-ve,fe-fe"
3,"V-ve,ve_c-ve_c,fe-ve,fe-fe,fe-fe!"
3,"V-vf,fe-V,fe-vf,fe-fe,fe-fe!"
3,"V-vf,vf-vf!,fe-vf,fe-fe,fe-fe!"
3,"ve_e-ve_e,ve_c-ve_c,ve-vf,fe-ve,fe-vf"
3,"ve_e-ve_e,ve_c-ve_c,ve-vf,fe-vf,fe-fe"
3,"ve_e-ve_e,ve-vf,fe-ve,fe-vf,fe-fe"
3,"ve_c-ve_c,ve-vf,fe-ve,fe-vf,fe-fe"
3,"ve_c-ve_c,ve-vf,fe-ve,fe-vf,fe-fe!"
3,"ve_c-ve_c,ve-vf,fe-vf,fe-fe,fe-fe!"
3,"ve-vf,fe-ve,fe-vf,fe-fe,fe-fe!"
3,"ve_e-ve_e,ve_c-ve_c,ve-vf,fe-ve,fe-vf,fe-fe"
3,"ve_c-ve_c,ve-vf,fe-ve,fe-vf,fe-fe,fe-fe!"
